id_accident,id_vehicule,num_veh,carac_an,carac_mois,carac_jour,carac_hrmn,carac_agg,carac_atm,carac_col,carac_com,carac_dept,carac_gps_lat,carac_gps_long,carac_int,carac_lum,lieu_catr,lieu_circ,lieu_infra,lieu_larrout,lieu_lartpc,lieu_nbv,lieu_plan,lieu_prof,lieu_situ,lieu_surf,lieu_vma,lieu_vosp,vehi_catv,vehi_choc,vehi_manv,vehi_motor,vehi_obs,vehi_obsm,vehi_occutc,vehi_senc,user_an_nais,user_catu,user_actp,user_etatp,user_locp,user_place,user_secu1,user_secu2,user_secu3,user_sexe,user_trajet,user_gravite,agg_catv_perso,agg_is_conducteur_vehicule,agg_is_conductrice_vehicule,agg_nb_pieton_vehicule,agg_nb_passager_vehicule,agg_nb_total_vehicule,agg_nb_total_velo,agg_nb_total_vsp,agg_nb_total_moto,agg_nb_total_vl,agg_nb_total_pl,agg_nb_total_va,agg_nb_total_conducteur,agg_nb_total_conductrice,agg_nb_total_pieton,agg_nb_total_passager
201800000001,0,A01,2018,1,24,1505,1,1,1,5.0,59,50.55737,2.94992,4,1,3,2,0,,0.0,2,3,1,1,1,,0,7,2,15,,0,2,0,0.0,1960.0,1,0,0,0,1,1,-1,-1,1,5,0,4,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0
201800000001,0,B01,2018,1,24,1505,1,1,1,5.0,59,50.55737,2.94992,4,1,3,2,0,,0.0,2,3,1,1,1,,0,7,3,1,,0,2,0,0.0,1928.0,1,0,0,0,1,1,-1,-1,1,-1,2,4,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0
201800000002,0,A01,2018,2,12,1015,2,7,7,11.0,59,50.52936,2.93151,7,1,4,2,0,,0.0,2,2,1,1,1,,0,7,0,1,,0,1,0,0.0,1947.0,1,0,0,0,1,1,-1,-1,1,-1,0,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000002,0,A01,2018,2,12,1015,2,7,7,11.0,59,50.52936,2.93151,7,1,4,2,0,,0.0,2,2,1,1,1,,0,7,0,1,,0,1,0,0.0,1959.0,3,3,1,2,-1,0,-1,-1,1,-1,1,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000003,0,A01,2018,3,4,1135,2,1,7,477.0,59,50.51243,2.91714,3,1,3,2,0,,0.0,2,1,1,1,1,,0,33,1,1,,1,2,0,0.0,1987.0,1,0,0,0,1,2,-1,-1,1,5,2,3,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0
201800000003,0,C01,2018,3,4,1135,2,1,7,477.0,59,50.51243,2.91714,3,1,3,2,0,,0.0,2,1,1,1,1,,0,7,7,24,,0,0,0,0.0,1977.0,1,0,0,0,1,0,-1,-1,1,-1,0,4,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0
201800000004,0,A01,2018,5,5,1735,2,7,3,52.0,59,50.51974,2.89123,1,1,3,2,0,,0.0,2,1,1,1,1,,0,7,2,21,,0,9,0,0.0,1982.0,1,0,0,0,1,1,-1,-1,1,5,0,4,1,0,0,0,2,1,0,0,1,0,0,2,0,0,0
201800000004,0,B01,2018,5,5,1735,2,7,3,52.0,59,50.51974,2.89123,1,1,3,2,0,,0.0,2,1,1,1,1,,0,1,8,0,,0,2,0,0.0,2013.0,1,0,0,0,1,0,-1,-1,1,5,2,1,1,0,0,0,2,1,0,0,1,0,0,2,0,0,0
201800000005,0,A01,2018,6,26,1605,2,1,3,477.0,59,50.51607,2.90605,1,1,4,1,0,,0.0,1,1,1,1,1,,0,2,2,17,,0,2,0,0.0,2001.0,1,0,0,0,1,2,-1,-1,1,5,1,2,1,0,0,0,2,0,1,0,1,0,0,2,0,0,0
201800000005,0,B01,2018,6,26,1605,2,1,3,477.0,59,50.51607,2.90605,1,1,4,1,0,,0.0,1,1,1,1,1,,0,7,3,20,,0,2,0,0.0,1946.0,1,0,0,0,1,1,-1,-1,1,5,0,4,1,0,0,0,2,0,1,0,1,0,0,2,0,0,0
201800000006,0,A01,2018,9,23,630,2,2,6,52.0,59,50.52132,2.88837,1,2,3,0,0,,0.0,2,2,2,3,2,,0,7,2,1,,6,1,0,0.0,1984.0,1,0,0,0,1,0,-1,-1,1,-1,0,4,1,0,1,2,1,0,0,0,1,0,0,1,0,1,2
201800000006,0,A01,2018,9,23,630,2,2,6,52.0,59,50.52132,2.88837,1,2,3,0,0,,0.0,2,2,2,3,2,,0,7,2,1,,6,1,0,0.0,1992.0,2,0,0,0,2,0,-1,-1,1,-1,0,4,1,0,1,2,1,0,0,0,1,0,0,1,0,1,2
201800000006,0,A01,2018,9,23,630,2,2,6,52.0,59,50.52132,2.88837,1,2,3,0,0,,0.0,2,2,2,3,2,,0,7,2,1,,6,1,0,0.0,1995.0,2,0,0,0,9,0,-1,-1,1,-1,1,4,1,0,1,2,1,0,0,0,1,0,0,1,0,1,2
201800000006,0,A01,2018,9,23,630,2,2,6,52.0,59,50.52132,2.88837,1,2,3,0,0,,0.0,2,2,2,3,2,,0,7,2,1,,6,1,0,0.0,1959.0,3,0,0,0,-1,0,-1,-1,1,-1,2,4,1,0,1,2,1,0,0,0,1,0,0,1,0,1,2
201800000007,0,A01,2018,9,26,40,2,1,6,133.0,59,50.52211,2.96652,1,5,3,2,0,,0.0,2,1,1,3,1,,0,7,8,0,,8,0,0,0.0,1996.0,1,0,0,0,1,1,-1,-1,1,9,2,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
201800000008,0,A01,2018,11,30,1715,2,1,6,11.0,59,50.53146,2.93875,1,5,4,2,0,,0.0,2,1,1,1,1,,0,7,2,1,,0,1,0,0.0,1987.0,1,0,0,0,1,1,-1,-1,1,9,0,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000008,0,A01,2018,11,30,1715,2,1,6,11.0,59,50.53146,2.93875,1,5,4,2,0,,0.0,2,1,1,1,1,,0,7,2,1,,0,1,0,0.0,1944.0,3,3,1,3,-1,0,-1,-1,1,5,3,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000009,0,A01,2018,2,18,1557,1,1,6,550.0,59,50.53707,2.84896,1,1,3,2,0,,0.0,2,1,1,3,1,,0,33,3,1,,16,0,0,1.0,1987.0,1,0,0,0,1,2,-1,-1,1,5,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
201800000010,0,A01,2018,3,19,1530,2,1,1,51.0,59,50.53639,2.81517,2,1,3,2,0,,0.0,2,1,1,1,1,,2,33,1,17,,0,2,0,0.0,1977.0,1,0,0,0,1,2,-1,-1,1,4,2,3,1,0,0,0,2,0,0,1,1,0,0,1,1,0,0
201800000010,0,B01,2018,3,19,1530,2,1,1,51.0,59,50.53639,2.81517,2,1,3,2,0,,0.0,2,1,1,1,1,,2,7,8,15,,6,0,0,0.0,1948.0,1,0,0,0,1,1,-1,-1,2,5,0,4,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0
201800000011,0,A01,2018,5,28,1830,2,1,3,51.0,59,50.54194,2.81987,6,1,3,2,0,,0.0,2,1,1,1,1,,1,7,3,15,,0,9,0,0.0,1953.0,1,0,0,0,1,1,-1,-1,2,3,0,4,0,1,0,0,2,0,1,0,1,0,0,1,1,0,0
201800000011,0,B01,2018,5,28,1830,2,1,3,51.0,59,50.54194,2.81987,6,1,3,2,0,,0.0,2,1,1,1,1,,1,30,1,0,,0,2,0,0.0,1987.0,1,0,0,0,1,2,-1,-1,1,-1,2,2,1,0,0,0,2,0,1,0,1,0,0,1,1,0,0
201800000012,0,A01,2018,5,31,430,1,5,6,250.0,59,50.58465,2.90868,6,5,2,3,0,,0.0,4,1,1,1,1,,3,7,0,0,,8,0,0,1.0,1997.0,1,0,0,0,1,0,-1,-1,1,-1,2,4,1,0,0,3,1,0,0,0,1,0,0,1,0,0,3
201800000012,0,A01,2018,5,31,430,1,5,6,250.0,59,50.58465,2.90868,6,5,2,3,0,,0.0,4,1,1,1,1,,3,7,0,0,,8,0,0,1.0,2002.0,2,0,0,0,2,0,-1,-1,2,-1,2,4,1,0,0,3,1,0,0,0,1,0,0,1,0,0,3
201800000012,0,A01,2018,5,31,430,1,5,6,250.0,59,50.58465,2.90868,6,5,2,3,0,,0.0,4,1,1,1,1,,3,7,0,0,,8,0,0,1.0,1996.0,2,0,0,0,7,0,-1,-1,1,-1,2,4,1,0,0,3,1,0,0,0,1,0,0,1,0,0,3
201800000012,0,A01,2018,5,31,430,1,5,6,250.0,59,50.58465,2.90868,6,5,2,3,0,,0.0,4,1,1,1,1,,3,7,0,0,,8,0,0,1.0,2001.0,2,0,0,0,9,0,-1,-1,2,-1,2,4,1,0,0,3,1,0,0,0,1,0,0,1,0,0,3
201800000013,0,A01,2018,6,15,845,1,1,3,257.0,59,50.61613,2.83783,1,1,3,2,0,,0.0,2,2,1,1,1,,0,33,8,5,,0,2,0,0.0,1961.0,1,0,0,0,1,2,-1,-1,1,1,2,3,1,0,0,0,2,0,0,1,1,0,0,1,1,0,1
201800000013,0,B01,2018,6,15,845,1,1,3,257.0,59,50.61613,2.83783,1,1,3,2,0,,0.0,2,2,1,1,1,,0,7,3,1,,0,2,0,0.0,1972.0,1,0,0,0,1,1,-1,-1,2,5,0,4,0,1,0,1,2,0,0,1,1,0,0,1,1,0,1
201800000013,0,B01,2018,6,15,845,1,1,3,257.0,59,50.61613,2.83783,1,1,3,2,0,,0.0,2,2,1,1,1,,0,7,3,1,,0,2,0,0.0,2002.0,2,0,0,0,2,1,-1,-1,2,5,0,4,0,1,0,1,2,0,0,1,1,0,0,1,1,0,1
201800000014,0,A01,2018,7,19,1022,2,1,6,51.0,59,50.53196,2.80251,1,1,3,2,0,,0.0,2,1,1,1,1,,0,7,2,1,,0,1,0,0.0,1987.0,1,0,0,0,1,1,-1,-1,1,-1,0,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000014,0,A01,2018,7,19,1022,2,1,6,51.0,59,50.53196,2.80251,1,1,3,2,0,,0.0,2,1,1,1,1,,0,7,2,1,,0,1,0,0.0,1929.0,3,3,1,1,-1,0,-1,-1,2,5,2,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000015,0,A01,2018,10,31,1945,1,1,6,303.0,59,50.57886,2.85234,1,3,3,2,0,,0.0,2,1,1,3,2,,0,7,3,1,,13,0,0,0.0,1996.0,1,0,0,0,1,1,-1,-1,1,1,2,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
201800000016,0,A01,2018,1,15,725,2,1,6,398.0,59,50.51098,3.12175,2,2,3,2,6,,0.0,2,1,1,1,1,,2,7,7,1,,0,1,0,0.0,1941.0,1,0,0,0,1,1,-1,-1,1,5,0,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000016,0,A01,2018,1,15,725,2,1,6,398.0,59,50.51098,3.12175,2,2,3,2,6,,0.0,2,1,1,1,1,,2,7,7,1,,0,1,0,0.0,2004.0,3,3,1,3,-1,0,-1,-1,2,2,1,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000017,0,A01,2018,2,9,1515,2,4,6,129.0,59,50.51293,3.16665,1,1,4,2,0,,0.0,2,1,1,4,2,,0,7,3,0,,9,0,0,1.0,1974.0,1,0,0,0,1,1,-1,-1,1,-1,2,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
201800000018,0,A01,2018,4,7,1145,2,1,2,71.0,59,50.4803,3.13456,3,1,3,2,0,,0.0,2,1,1,1,1,,0,2,1,1,,0,2,0,2.0,2000.0,1,0,0,0,1,2,-1,-1,1,5,2,2,1,0,0,0,2,0,1,0,1,0,0,1,1,0,0
201800000018,0,B01,2018,4,7,1145,2,1,2,71.0,59,50.4803,3.13456,3,1,3,2,0,,0.0,2,1,1,1,1,,0,7,4,23,,0,2,0,2.0,1975.0,1,0,0,0,1,1,-1,-1,2,5,0,4,0,1,0,0,2,0,1,0,1,0,0,1,1,0,0
201800000019,0,A01,2018,4,17,1610,1,7,2,197.0,59,50.54792,3.14516,3,1,3,2,0,,0.0,2,1,1,1,1,,0,7,6,15,,0,0,0,0.0,1988.0,1,0,0,0,1,1,-1,-1,1,5,0,4,1,0,0,0,2,0,0,1,1,0,0,2,0,0,1
201800000019,0,B01,2018,4,17,1610,1,7,2,197.0,59,50.54792,3.14516,3,1,3,2,0,,0.0,2,1,1,1,1,,0,33,2,17,,0,2,0,0.0,1954.0,1,0,0,0,1,2,-1,-1,1,-1,2,3,1,0,0,1,2,0,0,1,1,0,0,2,0,0,1
201800000019,0,B01,2018,4,17,1610,1,7,2,197.0,59,50.54792,3.14516,3,1,3,2,0,,0.0,2,1,1,1,1,,0,33,2,17,,0,2,0,0.0,1952.0,2,0,0,0,2,2,-1,-1,2,-1,2,3,1,0,0,1,2,0,0,1,1,0,0,2,0,0,1
201800000020,0,A01,2018,5,27,1600,1,1,7,586.0,59,50.54129,3.18902,1,1,4,2,0,,0.0,2,2,1,1,1,,0,7,3,2,,12,2,0,2.0,1988.0,1,0,0,0,1,0,-1,-1,1,4,0,4,1,0,0,0,2,1,0,0,1,0,0,2,0,0,0
201800000020,0,B01,2018,5,27,1600,1,1,7,586.0,59,50.54129,3.18902,1,1,4,2,0,,0.0,2,2,1,1,1,,0,1,7,1,,12,0,0,2.0,1997.0,1,0,0,0,1,2,-1,-1,1,9,2,1,1,0,0,0,2,1,0,0,1,0,0,2,0,0,0
201800000021,0,A01,2018,6,12,1745,2,1,6,34.0,59,50.53925,3.07765,1,1,4,2,0,,0.0,2,1,1,1,1,,0,7,1,15,,0,2,0,0.0,1993.0,1,0,0,0,1,1,-1,-1,2,1,0,4,0,1,0,0,2,0,1,0,1,0,0,1,1,0,0
201800000021,0,B01,2018,6,12,1745,2,1,6,34.0,59,50.53925,3.07765,1,1,4,2,0,,0.0,2,1,1,1,1,,0,32,7,21,,0,2,0,0.0,1950.0,1,0,0,0,1,2,-1,-1,1,5,2,2,1,0,0,0,2,0,1,0,1,0,0,1,1,0,0
201800000022,0,A01,2018,7,12,1700,2,1,6,398.0,59,50.5059,3.12429,1,1,3,2,0,,0.0,2,1,1,1,1,,0,7,3,1,,0,1,0,0.0,1965.0,1,0,0,0,1,1,-1,-1,1,1,0,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000022,0,A01,2018,7,12,1700,2,1,6,398.0,59,50.5059,3.12429,1,1,3,2,0,,0.0,2,1,1,1,1,,0,7,3,1,,0,1,0,0.0,1946.0,3,3,1,3,-1,0,-1,-1,1,3,2,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000023,0,A01,2018,10,12,1845,1,1,3,197.0,59,50.53476,3.10671,1,2,3,2,0,,0.0,2,1,1,1,1,,0,7,6,15,,0,2,0,0.0,1975.0,1,0,0,0,1,1,-1,-1,1,1,2,4,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0
201800000023,0,B01,2018,10,12,1845,1,1,3,197.0,59,50.53476,3.10671,1,2,3,2,0,,0.0,2,1,1,1,1,,0,7,1,17,,0,2,0,0.0,1991.0,1,0,0,0,1,1,-1,-1,1,3,0,4,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0
201800000024,0,A01,2018,12,5,1133,2,2,6,586.0,59,50.52832,3.17434,1,1,4,2,6,,0.0,2,1,1,1,2,,0,7,3,1,,0,1,0,2.0,1979.0,1,0,0,0,1,1,-1,-1,1,-1,0,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
201800000024,0,A01,2018,12,5,1133,2,2,6,586.0,59,50.52832,3.17434,1,1,4,2,6,,0.0,2,1,1,1,2,,0,7,3,1,,0,1,0,2.0,1938.0,3,3,1,3,-1,0,-1,-1,1,-1,1,4,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
